epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.681,2.45007,2.34372,1.33761,0.78518,0.16126,0.21466,0.08944,2.09798,1.95486,1.18196,0.000658824,0.000658824,0.000658824
2,353.818,2.17212,1.62908,1.17464,0.49424,0.18758,0.19064,0.08303,2.08668,1.6844,1.14856,0.00125988,0.00125988,0.00125988
3,512.83,2.1274,1.51891,1.13704,0.55411,0.25401,0.25866,0.11049,2.01938,1.36518,1.14,0.00179493,0.00179493,0.00179493
4,676.794,2.13844,1.49286,1.13903,0.54456,0.25149,0.26126,0.11598,1.98927,1.38842,1.13278,0.001703,0.001703,0.001703
5,836.768,2.01405,1.38072,1.1162,0.56531,0.26572,0.27396,0.1159,1.94172,1.35166,1.08997,0.001604,0.001604,0.001604
6,1018.05,1.96325,1.34475,1.11032,0.60668,0.28723,0.30502,0.13543,1.92292,1.20148,1.11046,0.001505,0.001505,0.001505
7,1200.33,2.03166,1.34915,1.0997,0.60344,0.28864,0.3081,0.13797,1.87725,1.20469,1.07704,0.001406,0.001406,0.001406
8,1369.93,1.96174,1.30617,1.09777,0.61506,0.29389,0.31376,0.14228,1.85441,1.17861,1.0688,0.001307,0.001307,0.001307
