epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1158.21,1.90335,1.33899,1.21429,0.72018,0.38766,0.44309,0.21272,1.79192,1.15531,1.21154,0.0700186,0.00333126,0.00333126
2,2428.67,1.78851,1.17263,1.17353,0.71891,0.43175,0.48885,0.25136,1.6323,1.0137,1.16845,0.0398867,0.00653264,0.00653264
3,3625.65,1.69491,1.06134,1.13966,0.77527,0.47733,0.53868,0.27362,1.57732,0.90614,1.1315,0.00962272,0.00960201,0.00960201
4,4753.47,1.66429,1.00652,1.11679,0.76167,0.47846,0.54218,0.28081,1.53754,0.8858,1.11354,0.009406,0.009406,0.009406
